column,description,dtype,pct_missing,min,max,mean
dunkelflaute_flag_lag1,value of 'dunkelflaute_flag' from 1 day(s) earlier,float64,0.0,0.0,1.0,0.159
dunkelflaute_flag_lag2,value of 'dunkelflaute_flag' from 2 day(s) earlier,float64,0.1,0.0,1.0,0.159
dunkelflaute_flag_lag3,value of 'dunkelflaute_flag' from 3 day(s) earlier,float64,0.1,0.0,1.0,0.159
dunkelflaute_flag_lag4,value of 'dunkelflaute_flag' from 4 day(s) earlier,float64,0.2,0.0,1.0,0.159
dunkelflaute_flag_lag5,value of 'dunkelflaute_flag' from 5 day(s) earlier,float64,0.2,0.0,1.0,0.159
dunkelflaute_flag_lag6,value of 'dunkelflaute_flag' from 6 day(s) earlier,float64,0.3,0.0,1.0,0.159
dunkelflaute_flag_lag7,value of 'dunkelflaute_flag' from 7 day(s) earlier,float64,0.3,0.0,1.0,0.159
sentiment_available_lag1,value of 'sentiment_available' from 1 day(s) earlier,float64,0.0,0.0,1.0,0.154
sentiment_available_lag2,value of 'sentiment_available' from 2 day(s) earlier,float64,0.1,0.0,1.0,0.154
sentiment_available_lag3,value of 'sentiment_available' from 3 day(s) earlier,float64,0.1,0.0,1.0,0.154
sentiment_available_lag4,value of 'sentiment_available' from 4 day(s) earlier,float64,0.2,0.0,1.0,0.153
sentiment_available_lag5,value of 'sentiment_available' from 5 day(s) earlier,float64,0.2,0.0,1.0,0.153
sentiment_available_lag6,value of 'sentiment_available' from 6 day(s) earlier,float64,0.3,0.0,1.0,0.152
sentiment_available_lag7,value of 'sentiment_available' from 7 day(s) earlier,float64,0.3,0.0,1.0,0.152
gpr_daily_lag1,value of 'gpr_daily' from 1 day(s) earlier,float64,0.0,0.0,540.827,133.516
gpr_daily_lag2,value of 'gpr_daily' from 2 day(s) earlier,float64,0.1,0.0,540.827,133.51
gpr_daily_lag3,value of 'gpr_daily' from 3 day(s) earlier,float64,0.1,0.0,540.827,133.536
gpr_daily_lag4,value of 'gpr_daily' from 4 day(s) earlier,float64,0.2,0.0,540.827,133.549
gpr_daily_lag5,value of 'gpr_daily' from 5 day(s) earlier,float64,0.2,0.0,540.827,133.526
gpr_daily_lag6,value of 'gpr_daily' from 6 day(s) earlier,float64,0.3,0.0,540.827,133.51
gpr_daily_lag7,value of 'gpr_daily' from 7 day(s) earlier,float64,0.3,0.0,540.827,133.504
guardian_sentiment_mean_lag1,value of 'guardian_sentiment_mean' from 1 day(s) earlier,float64,84.6,-0.929,0.683,-0.254
guardian_sentiment_mean_lag2,value of 'guardian_sentiment_mean' from 2 day(s) earlier,float64,84.6,-0.929,0.683,-0.253
guardian_sentiment_mean_lag3,value of 'guardian_sentiment_mean' from 3 day(s) earlier,float64,84.7,-0.929,0.683,-0.254
guardian_sentiment_mean_lag4,value of 'guardian_sentiment_mean' from 4 day(s) earlier,float64,84.7,-0.929,0.683,-0.254
guardian_sentiment_mean_lag5,value of 'guardian_sentiment_mean' from 5 day(s) earlier,float64,84.8,-0.929,0.683,-0.254
guardian_sentiment_mean_lag6,value of 'guardian_sentiment_mean' from 6 day(s) earlier,float64,84.8,-0.929,0.683,-0.255
guardian_sentiment_mean_lag7,value of 'guardian_sentiment_mean' from 7 day(s) earlier,float64,84.9,-0.929,0.683,-0.256
guardian_sentiment_min_lag1,value of 'guardian_sentiment_min' from 1 day(s) earlier,float64,84.6,-0.979,0.683,-0.747
guardian_sentiment_min_lag2,value of 'guardian_sentiment_min' from 2 day(s) earlier,float64,84.6,-0.979,0.683,-0.747
guardian_sentiment_min_lag3,value of 'guardian_sentiment_min' from 3 day(s) earlier,float64,84.7,-0.979,0.683,-0.746
guardian_sentiment_min_lag4,value of 'guardian_sentiment_min' from 4 day(s) earlier,float64,84.7,-0.979,0.683,-0.746
guardian_sentiment_min_lag5,value of 'guardian_sentiment_min' from 5 day(s) earlier,float64,84.8,-0.979,0.683,-0.746
guardian_sentiment_min_lag6,value of 'guardian_sentiment_min' from 6 day(s) earlier,float64,84.8,-0.979,0.683,-0.745
guardian_sentiment_min_lag7,value of 'guardian_sentiment_min' from 7 day(s) earlier,float64,84.9,-0.979,0.683,-0.745
guardian_sentiment_max_lag1,value of 'guardian_sentiment_max' from 1 day(s) earlier,float64,84.6,-0.929,0.949,0.41
guardian_sentiment_max_lag2,value of 'guardian_sentiment_max' from 2 day(s) earlier,float64,84.6,-0.929,0.949,0.41
guardian_sentiment_max_lag3,value of 'guardian_sentiment_max' from 3 day(s) earlier,float64,84.7,-0.929,0.949,0.409
guardian_sentiment_max_lag4,value of 'guardian_sentiment_max' from 4 day(s) earlier,float64,84.7,-0.929,0.949,0.409
guardian_sentiment_max_lag5,value of 'guardian_sentiment_max' from 5 day(s) earlier,float64,84.8,-0.929,0.949,0.408
guardian_sentiment_max_lag6,value of 'guardian_sentiment_max' from 6 day(s) earlier,float64,84.8,-0.929,0.949,0.408
guardian_sentiment_max_lag7,value of 'guardian_sentiment_max' from 7 day(s) earlier,float64,84.9,-0.929,0.949,0.406
guardian_article_count_lag1,value of 'guardian_article_count' from 1 day(s) earlier,float64,84.6,1.0,45.0,11.295
guardian_article_count_lag2,value of 'guardian_article_count' from 2 day(s) earlier,float64,84.6,1.0,45.0,11.286
guardian_article_count_lag3,value of 'guardian_article_count' from 3 day(s) earlier,float64,84.7,1.0,45.0,11.312
guardian_article_count_lag4,value of 'guardian_article_count' from 4 day(s) earlier,float64,84.7,1.0,45.0,11.329
guardian_article_count_lag5,value of 'guardian_article_count' from 5 day(s) earlier,float64,84.8,1.0,45.0,11.327
guardian_article_count_lag6,value of 'guardian_article_count' from 6 day(s) earlier,float64,84.8,1.0,45.0,11.331
guardian_article_count_lag7,value of 'guardian_article_count' from 7 day(s) earlier,float64,84.9,1.0,45.0,11.323
smard_mean_vol7d,7-day rolling volatility (std dev) of 'smard_mean',float64,0.3,3.075,174.951,30.88
smard_mean_vol30d,30-day rolling volatility (std dev) of 'smard_mean',float64,1.5,9.183,165.335,38.969
DCOILBRENTEU_vol7d,7-day rolling volatility (std dev) of 'DCOILBRENTEU',float64,0.3,0.176,10.862,1.734
DCOILBRENTEU_vol30d,30-day rolling volatility (std dev) of 'DCOILBRENTEU',float64,1.5,0.632,16.776,3.389
ttf_eur_mwh_vol7d,7-day rolling volatility (std dev) of 'ttf_eur_mwh',float64,0.3,0.079,49.247,2.976
ttf_eur_mwh_vol30d,30-day rolling volatility (std dev) of 'ttf_eur_mwh',float64,1.5,0.391,50.168,6.331
day_of_week,0=Monday ... 6=Sunday,int64,0.0,0,6,2.998
month,"calendar month, 1-12",int64,0.0,1,12,6.298
is_weekend,1 if Saturday/Sunday,int64,0.0,0,1,0.285
is_holiday,1 if a German public holiday,int64,0.0,0,1,0.024
